Tipo,Map Name,Top Agents,Win %,Wins,Losses,K/D,ADR,ACS,DDΔ,HS%,Aces,Clutches,Thrifty,Flawless,Plants,Defuses
Mapa,Haven,Jett (67%); Clove (50%); Phoenix (40%),57.7,15,10,0.87,139.1,204.0,-13,29.7,0,15,14,16,24,14
Mapa,Summit,Jett (83%); Clove (43%),57.1,12,9,0.9,145.3,218.8,-13,32.7,0,3,10,13,25,5
Mapa,Ascent,Sova (60%); Clove (46%),56.5,13,10,0.94,150.6,222.4,-2,28.7,1,9,9,14,45,7
Mapa,Sunset,Clove (67%),52.4,11,10,0.91,147.8,215.5,-4,32.9,0,6,7,18,34,8
Mapa,Lotus,Jett (50%); Clove (30%),38.1,8,13,0.88,140.0,213.8,-12,29.8,1,6,10,11,7,3
Mapa,Breeze,Sova (40%); Clove (33%); Jett (20%),34.8,8,15,0.87,143.8,213.4,-8,33.4,0,4,9,12,44,7
Mapa,Split,Clove (22%); Jett (0%),20.0,4,15,0.84,139.4,210.6,-19,27.3,1,3,10,7,8,7
